"gid","funderid","fundername","awardid"
"857","https://openalex.org/F4320338281","Army Research Office","W911NF-18-1-0364"
"858","https://openalex.org/F4320306076","National Science Foundation","1750786"
"859","https://openalex.org/F4320338281","Army Research Office","W911NF-20-1-0274"
"860","https://openalex.org/F4320306076","National Science Foundation","1847632"
"861","https://openalex.org/F4320306196","Welch Foundation","E-1297"
"862","https://openalex.org/F4320306076","National Science Foundation","DMR-2375410"
"863","https://openalex.org/F4320306084","U.S. Department of Energy","F-2094"
"864","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-20-1-0068"
"865","https://openalex.org/F4320336026","National Key Research and Development Program of China Stem Cell and Translational Research","2022YFA1402301"
"866","https://openalex.org/F4320336026","National Key Research and Development Program of China Stem Cell and Translational Research","2018YFA0305703"
"867","https://openalex.org/F4320332369","National Nuclear Security Administration","DE-NA0003975"
"868","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-15-1-0236"
"869","https://openalex.org/F4320333688","National Outstanding Youth Science Fund Project of National Natural Science Foundation of China","U1930401"
"870","https://openalex.org/F4320306076","National Science Foundation","DMR-2104881"
"871","https://openalex.org/F4320306084","U.S. Department of Energy","DE-AC02- 05CH11231"
"872","https://openalex.org/F4320333688","National Outstanding Youth Science Fund Project of National Natural Science Foundation of China","11874075"
"873","https://openalex.org/F4320332369","National Nuclear Security Administration","DE-NA0003525"
"874","https://openalex.org/F4320306078","U.S. Department of Defense","W81XWH-19-1-0683"
"875","https://openalex.org/F4320332161","National Institutes of Health","R01DK093491"
"876","https://openalex.org/F4320306084","U.S. Department of Energy","FA9550-21-1-0317"
"877","https://openalex.org/F4320306084","U.S. Department of Energy","SA22-0052-S001"
"878","https://openalex.org/F4320335787","Fundamental Research Funds for the Central Universities","NP2020022"
"879","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-20-1-0358"
"880","https://openalex.org/F4320321001","National Natural Science Foundation of China","72171116"
"881","https://openalex.org/F4320322438","Nanjing University of Aeronautics and Astronautics","KXKCXJJ202208"
"882","https://openalex.org/F4320338281","Army Research Office","W911NF-17-1-0111"
"883","https://openalex.org/F4320338281","Army Research Office","W911NF-22-2-0205"
"884","https://openalex.org/F4320337354","National Institute of General Medical Sciences","T32 GM135096"
"885","https://openalex.org/F4320338281","Army Research Office","W911NF2310124"
"886","https://openalex.org/F4320326911","State Key Laboratory of Polymer Materials Engineering","sklpme2023-2-08"
"887","https://openalex.org/F4320337354","National Institute of General Medical Sciences","GM-136395"
"888","https://openalex.org/F4320306076","National Science Foundation","DMR- 1611180"
"889","https://openalex.org/F4320329833","Basic Scientific Fund for National Public Research Institutes of China","52271110"
"890","https://openalex.org/F4320336035","Shanxi Provincial Key Research and Development Project","202102050201008"
"891","https://openalex.org/F4320306137","Bill and Melinda Gates Foundation","INV-005284"
"892","https://openalex.org/F4320332178","National Institute of Standards and Technology","70NANB21H105"
"893","https://openalex.org/F4320337355","National Institute of Allergy and Infectious Diseases","R01 AI174908"
"894","https://openalex.org/F4320337355","National Institute of Allergy and Infectious Diseases","P01 AI162242"
"895","https://openalex.org/F4320306084","U.S. Department of Energy","DE-AC02-76SF00515"
"896","https://openalex.org/F4320337355","National Institute of Allergy and Infectious Diseases","1R01AI155150-01A1"
"897","https://openalex.org/F4320306137","Bill and Melinda Gates Foundation","INV-036842"
"898","https://openalex.org/F4320306127","U.S. Department of Veterans Affairs","IBX004525"
"899","https://openalex.org/F4320337355","National Institute of Allergy and Infectious Diseases","R01AI147870"
"900","https://openalex.org/F4320337345","Office of Naval Research","N00014-19-1-2471"
"901","https://openalex.org/F4320337345","Office of Naval Research","N00014-18-S-B001"
"902","https://openalex.org/F4320337359","National Institute of Neurological Disorders and Stroke","NS124141"
"903","https://openalex.org/F4320306078","U.S. Department of Defense","W81XWH-20-10790"
"904","https://openalex.org/F4320306078","U.S. Department of Defense","W81XWH-21-10742"
"905","https://openalex.org/F4320337359","National Institute of Neurological Disorders and Stroke","NS128600"
"906","https://openalex.org/F4320311904","Wellcome Trust","209734/Z/17/Z"
"907","https://openalex.org/F4320334626","Medical Research Council","MC_UU_00031/3"
"908","https://openalex.org/F4320334627","Engineering and Physical Sciences Research Council","EP/R035288/1"
"909","https://openalex.org/F4320334631","Natural Environment Research Council","NE/N01524X/1"
"910","https://openalex.org/F4320334626","Medical Research Council","MC_UU_00004/01"
"911","https://openalex.org/F4320334626","Medical Research Council","MC_UU_00004/02"
"912","https://openalex.org/F4320334626","Medical Research Council","MC_UU_00004/08"
"913","https://openalex.org/F4320334626","Medical Research Council","MR/M015084/1"
"914","https://openalex.org/F4320334626","Medical Research Council","MR/M008525/1"
"915","https://openalex.org/F4320334626","Medical Research Council","MR/L023784/2"
"916","https://openalex.org/F4320334626","Medical Research Council","MC_UU_00030/14"
"917","https://openalex.org/F4320334626","Medical Research Council","MR/T033371/1"
"918","https://openalex.org/F4320334626","Medical Research Council","MR/P01271X/1"
"919","https://openalex.org/F4320334626","Medical Research Council","MR/X020258/1"
"920","https://openalex.org/F4320334705","National Health and Medical Research Council","APP1084967"
"921","https://openalex.org/F4320332161","National Institutes of Health","R01AR076654"
"922","https://openalex.org/F4320334506","Canadian Institutes of Health Research","MOP133609"
"923","https://openalex.org/F4320321543","China Postdoctoral Science Foundation","BX2021234"
"924","https://openalex.org/F4320306076","National Science Foundation","OCE-1924655"
"925","https://openalex.org/F4320321001","National Natural Science Foundation of China","51888103"
"926","https://openalex.org/F4320338281","Army Research Office","W911NF-18-1-0379"
"927","https://openalex.org/F4320320879","Deutsche Forschungsgemeinschaft","VO2413/2-1"
"928","https://openalex.org/F4320337506","Advanced Scientific Computing Research","17-SC-20-SC"
"929","https://openalex.org/F4320321001","National Natural Science Foundation of China","91752202"
"930","https://openalex.org/F4320306076","National Science Foundation","213194"
"931","https://openalex.org/F4320337399","Division of Integrative Organismal Systems","NSF RAISE IOS-2034043"
"932","https://openalex.org/F4320337345","Office of Naval Research","ONR N00014-22-1-2655"
"933","https://openalex.org/F4320321001","National Natural Science Foundation of China","12225204,11988102"
"934","https://openalex.org/F4320337345","Office of Naval Research","N00014-19-1-2102"
"935","https://openalex.org/F4320337357","National Institute of Diabetes and Digestive and Kidney Diseases","2R01-DK052985-26"
"936","https://openalex.org/F4320337390","Division of Chemical, Bioengineering, Environmental, and Transport Systems","CBET-1751487"
"937","https://openalex.org/F4320324202","Guangdong Science and Technology Department","2023B1212060001 and 2020B1212030001"
"938","https://openalex.org/F4320321001","National Natural Science Foundation of China","11988102,12102168 and 12225204"
"939","https://openalex.org/F4320326705","Science, Technology and Innovation Commission of Shenzhen Municipality","KQTD20180411143441009"
"940","https://openalex.org/F4320337354","National Institute of General Medical Sciences","R35GM138201"
"941","https://openalex.org/F4320332186","Defense Threat Reduction Agency","HDTRA1-21-1-0014"
"942","https://openalex.org/F4320332186","Defense Threat Reduction Agency","HDTRA1-22-10031"
"943","https://openalex.org/F4320334977","Beijing Municipal Natural Science Foundation","JQ22017"
"944","https://openalex.org/F4320332186","Defense Threat Reduction Agency","HDTRA1-23-1-0001"
"945","https://openalex.org/F4320338335","H2020 European Research Council","GA 101125506"
"946","https://openalex.org/F4320321001","National Natural Science Foundation of China","21875148"
"947","https://openalex.org/F4320321001","National Natural Science Foundation of China","22209169"
"948","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-18-1-0320"
"949","https://openalex.org/F4320337345","Office of Naval Research","N00014-20-1-2116"
"950","https://openalex.org/F4320322725","China Scholarship Council","201906240142"
"951","https://openalex.org/F4320321001","National Natural Science Foundation of China","22075187"
"952","https://openalex.org/F4320306151","Alfred P. Sloan Foundation","FG-2020-12845"
"953","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-18-1-0451"
"954","https://openalex.org/F4320337393","Division of Chemistry","CHE-2101988"
"955","https://openalex.org/F4320337367","Division of Materials Research","DMR-1848215"
"956","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-22-1-0317"
"957","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-17-1-0094"
"958","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-21-1-0369"
"959","https://openalex.org/F4320337531","Defense Sciences Office, DARPA","D15AP00107"
"960","https://openalex.org/F4320326705","Science, Technology and Innovation Commission of Shenzhen Municipality","ZDSYS20230626091100001"
"961","https://openalex.org/F4320324856","Southeast University","2024FGC1008"
"962","https://openalex.org/F4320322769","Natural Science Foundation of Jiangsu Province","BK20230806"
"963","https://openalex.org/F4320319665","U.S. Coastal Research Program","OCE-1924005"
"964","https://openalex.org/F4320306076","National Science Foundation","20-508484"
"965","https://openalex.org/F4320306087","Semiconductor Research Corporation","375-10600-101648"
"966","https://openalex.org/F4320332369","National Nuclear Security Administration","DE-NA0003921"
"967","https://openalex.org/F4320337367","Division of Materials Research","DMR-2305731"
"968","https://openalex.org/F4320337367","Division of Materials Research","DMR-1720139"
"969","https://openalex.org/F4320321001","National Natural Science Foundation of China","51872028"
"970","https://openalex.org/F4320321001","National Natural Science Foundation of China","51832010"
"971","https://openalex.org/F4320321001","National Natural Science Foundation of China","32171984"
"972","https://openalex.org/F4320338281","Army Research Office","W911NF1910222"
"973","https://openalex.org/F4320312585","Kentucky Agricultural Experiment Station","KY011038"
"974","https://openalex.org/F4320338281","Army Research Office","W911NF-14-1-0471"
"975","https://openalex.org/F4320306101","National Aeronautics and Space Administration","80NSSC22K1167"
"976","https://openalex.org/F4320338273","Congressionally Directed Medical Research Programs","W81XWH-22-1-0470"
"977","https://openalex.org/F4320338273","Congressionally Directed Medical Research Programs","W81XWH-22-1-0471"
"978","https://openalex.org/F4320338279","Air Force Office of Scientific Research","AFOSR FA9550-18-1-0321"
"979","https://openalex.org/F4320337480","Basic Energy Sciences","DE-SC0019409"
"980","https://openalex.org/F4320338279","Air Force Office of Scientific Research","AFOSR FA9550-21-1-0170"
"981","https://openalex.org/F4320321001","National Natural Science Foundation of China","22306073"
"982","https://openalex.org/F4320321001","National Natural Science Foundation of China","22376080"
"983","https://openalex.org/F4320337345","Office of Naval Research","N00014-16-1-2357"
"984","https://openalex.org/F4320337345","Office of Naval Research","N00014-20-1-2465"
"985","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-23-1-0137"
"986","https://openalex.org/F4320321664","Ministerio de Ciencia, Tecnología e Innovación Productiva","PID2023-149905NB-I00"
"987","https://openalex.org/F4320321505","Generalitat de Catalunya","2021SGR00110"
"988","https://openalex.org/F4320306078","U.S. Department of Defense","W81XWH-15-1-0333"
"989","https://openalex.org/F4320306085","U.S. Department of Health and Human Services","R43IP001233"
"990","https://openalex.org/F4320337363","National Institute of Biomedical Imaging and Bioengineering","R21EB026564"
"991","https://openalex.org/F4320337354","National Institute of General Medical Sciences","R43GM151884"
"992","https://openalex.org/F4320306078","U.S. Department of Defense","W911NF2310232"
"993","https://openalex.org/F4320337377","Office of Advanced Cyberinfrastructure","OAC-2117956"
"994","https://openalex.org/F4320337367","Division of Materials Research","1848141"
"995","https://openalex.org/F4320337345","Office of Naval Research","N00014-17-1-2661"
"996","https://openalex.org/F4320309369","Massachusetts Institute of Technology","W911NF-18-2-0048"
"997","https://openalex.org/F4320338281","Army Research Office","W911NF-18-1-04310432"
"998","https://openalex.org/F4320306196","Welch Foundation","F-1464"
"999","https://openalex.org/F4320337367","Division of Materials Research","DMR-2011839"
"1000","https://openalex.org/F4320337367","Division of Materials Research","DMR-1720595"
"1001","https://openalex.org/F4320337392","Division of Electrical, Communications and Cyber Systems","ECCS-2001650"
"1002","https://openalex.org/F4320334779","Fundação para a Ciência e a Tecnologia","LOA 028 Zheng"
"1003","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-18-1-0072"
"1004","https://openalex.org/F4320335777","National Key Research and Development Program of China","2021YFB2801300"
"1005","https://openalex.org/F4320315781","Small Business Technology Transfer","80NSSC22PA980"
"1006","https://openalex.org/F4320337367","Division of Materials Research","NSF-2003509"
"1007","https://openalex.org/F4320333591","Multidisciplinary University Research Initiative","W911NF-21-2-0162"
"1008","https://openalex.org/F4320322930","Ministerio de Ciencia e Innovación","FPU18/04661"
"1009","https://openalex.org/F4320321001","National Natural Science Foundation of China","92166104"
"1010","https://openalex.org/F4320322930","Ministerio de Ciencia e Innovación","PGC2018-096955-B-C41"
"1011","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-18-1-0480"
"1012","https://openalex.org/F4320306084","U.S. Department of Energy","DE-SC-0012375"
"1013","https://openalex.org/F4320335787","Fundamental Research Funds for the Central Universities","2021FZZX003-02-03"
"1014","https://openalex.org/F4320321001","National Natural Science Foundation of China","11874097"
"1015","https://openalex.org/F4320321001","National Natural Science Foundation of China","12304210"
"1016","https://openalex.org/F4320321001","National Natural Science Foundation of China","12274050"
"1017","https://openalex.org/F4320321001","National Natural Science Foundation of China","91961204"
"1018","https://openalex.org/F4320337480","Basic Energy Sciences","DE-SC0017632"
"1019","https://openalex.org/F4320337395","Division of Emerging Frontiers in Research and Innovation","EFMA-1741673"
"1020","https://openalex.org/F4320335787","Fundamental Research Funds for the Central Universities","DUT22LAB104"
"1021","https://openalex.org/F4320335787","Fundamental Research Funds for the Central Universities","DUT22ZD103"
"1022","https://openalex.org/F4320337345","Office of Naval Research","N00014-19-1-2011"
"1023","https://openalex.org/F4320321001","National Natural Science Foundation of China","62205248"
"1024","https://openalex.org/F4320321001","National Natural Science Foundation of China","61621001"
"1025","https://openalex.org/F4320321001","National Natural Science Foundation of China","52272038"
"1026","https://openalex.org/F4320321001","National Natural Science Foundation of China","62192770"
"1027","https://openalex.org/F4320331092","Major Projects of Special Development Funds in Zhangjiang National Independent Innovation Demonstration Zone, Shanghai","ZJ2021-ZD-008"
"1028","https://openalex.org/F4320321001","National Natural Science Foundation of China","62192772"
"1029","https://openalex.org/F4320336652","Science and Technology Innovation Plan Of Shanghai Science and Technology Commission","21JC1406100"
"1030","https://openalex.org/F4320332587","Natural Science Foundation of Ningbo","2023J047"
"1031","https://openalex.org/F4320335777","National Key Research and Development Program of China","2022YFA1405100"
"1032","https://openalex.org/F4320338110","Science and Technology Department of Zhejiang Province","2022C01053"
"1033","https://openalex.org/F4320321001","National Natural Science Foundation of China","12174405"
"1034","https://openalex.org/F4320338281","Army Research Office","W911NF2010108"
"1035","https://openalex.org/F4320337111","Basic and Applied Basic Research Foundation of Guangdong Province","2022A1515012643"
"1036","https://openalex.org/F4320321001","National Natural Science Foundation of China","92165204"
"1037","https://openalex.org/F4320306202","Gordon and Betty Moore Foundation","GBMF9470"
"1038","https://openalex.org/F4320321001","National Natural Science Foundation of China","12104518"
"1039","https://openalex.org/F4320306196","Welch Foundation","C-2175"
"1040","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-21-1-0343"
"1041","https://openalex.org/F4320332359","Office of Science","DE-AC05-00OR22725"
"1042","https://openalex.org/F4320306076","National Science Foundation","1945364"
"1043","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-22-1-0166"
"1044","https://openalex.org/F4320337480","Basic Energy Sciences","DE-SC0019345"
"1045","https://openalex.org/F4320337363","National Institute of Biomedical Imaging and Bioengineering","R01EB033155"
"1046","https://openalex.org/F4320338281","Army Research Office","W911NF-23-2-0121"
"1047","https://openalex.org/F4320337363","National Institute of Biomedical Imaging and Bioengineering","R01EB034687"
"1048","https://openalex.org/F4320308349","Massachusetts General Hospital","Fund for medical discovery fellowship"
"1049","https://openalex.org/F4320306078","U.S. Department of Defense","N00014-20-1C2834"
"1050","https://openalex.org/F4320336567","Natural Science Basic Research Program of Shaanxi Province","2023-JC-YB-017"
"1051","https://openalex.org/F4320321001","National Natural Science Foundation of China","12374092"
"1052","https://openalex.org/F4320306078","U.S. Department of Defense","DMR-1906383"
"1053","https://openalex.org/F4320321169","Xi’an Jiaotong University","WL6J004"
"1054","https://openalex.org/F4320338483","Division of Materials Sciences and Engineering","DE-SC0005245"
"1055","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-23-1-0325"
"1056","https://openalex.org/F4320332359","Office of Science","DE-SC0023148"
"1057","https://openalex.org/F4320337345","Office of Naval Research","N0014-19-1-2340"
"1058","https://openalex.org/F4320338298","Office of Naval Research Global","N00014-17-1-2656"
"1059","https://openalex.org/F4320337391","Division of Civil, Mechanical and Manufacturing Innovation","2041505"
"1060","https://openalex.org/F4320337345","Office of Naval Research","N00014-22-1-2406S"
"1061","https://openalex.org/F4320337390","Division of Chemical, Bioengineering, Environmental, and Transport Systems","2140472"
"1062","https://openalex.org/F4320337368","Division of Graduate Education","DGE-1745302"
"1063","https://openalex.org/F4320337345","Office of Naval Research","N00014-20-1-2418"
"1064","https://openalex.org/F4320326914","State Key Laboratory of Pulp and Paper Engineering","202303"
"1065","https://openalex.org/F4320337480","Basic Energy Sciences","DE-FG02-03ER15457"
"1066","https://openalex.org/F4320330743","Guangzhou Municipal Science and Technology Bureau","2024A04J3650"
"1067","https://openalex.org/F4320338281","Army Research Office","W911NF-21-1-0096"
"1068","https://openalex.org/F4320337646","Hydrogen and Fuel Cell Technologies Office","DE-EE0008843"
"1069","https://openalex.org/F4320322725","China Scholarship Council","202107990007"
"1070","https://openalex.org/F4320338298","Office of Naval Research Global","N00014-20-1-2725"
"1071","https://openalex.org/F4320337397","Division of Molecular and Cellular Biosciences","2227598"
"1072","https://openalex.org/F4320332186","Defense Threat Reduction Agency","HDTRA 1-19-0021"
"1073","https://openalex.org/F4320306202","Gordon and Betty Moore Foundation","11395"
"1074","https://openalex.org/F4320325365","University of Science and Technology Beijing","FRF-BR-23-01B"
"1075","https://openalex.org/F4320335787","Fundamental Research Funds for the Central Universities","FRF-TP-24-039A"
"1076","https://openalex.org/F4320306078","U.S. Department of Defense","N00014-20-1-2834"
"1077","https://openalex.org/F4320322511","Narodowe Centrum Nauki","W911NF-21-1-0113"
"1078","https://openalex.org/F4320321001","National Natural Science Foundation of China","12304115"
"1079","https://openalex.org/F4320322769","Natural Science Foundation of Jiangsu Province","BK20150798"
"1080","https://openalex.org/F4320332186","Defense Threat Reduction Agency","HDTRA1-18-1-0003"
"1081","https://openalex.org/F4320321001","National Natural Science Foundation of China","21601047"
"1082","https://openalex.org/F4320322725","China Scholarship Council","201806715039"
"1083","https://openalex.org/F4320306076","National Science Foundation","ECCS-1542205"
"1084","https://openalex.org/F4320337367","Division of Materials Research","DMR-2203933"
"1085","https://openalex.org/F4320337367","Division of Materials Research","DMR-1548924"
"1086","https://openalex.org/F4320333591","Multidisciplinary University Research Initiative","FA9550-23-1-0281"
"1087","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-21-1-0413"
"1088","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-25-1-0008"
"1089","https://openalex.org/F4320321001","National Natural Science Foundation of China","62374008"
"1090","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-18-1-0143"
"1091","https://openalex.org/F4320335777","National Key Research and Development Program of China","2022ZD0209300"
"1092","https://openalex.org/F4320330206","Science and Technology Program of Hunan Province","2023ZJ1010"
"1093","https://openalex.org/F4320321001","National Natural Science Foundation of China","12421005"
"1094","https://openalex.org/F4320334789","Japan Science and Technology Agency","JPMJMS2061"
"1095","https://openalex.org/F4320337345","Office of Naval Research","N62909-23-1-2074"
"1096","https://openalex.org/F4320334789","Japan Science and Technology Agency","JPMJCR24I2"
"1097","https://openalex.org/F4320321471","Hunan Provincial Science and Technology Department","2020RC4047"
"1098","https://openalex.org/F4320321471","Hunan Provincial Science and Technology Department","24B0866"
"1099","https://openalex.org/F4320321001","National Natural Science Foundation of China","11935006"
"1100","https://openalex.org/F4320321001","National Natural Science Foundation of China","12064010"
"1101","https://openalex.org/F4320330206","Science and Technology Program of Hunan Province","2022RC1203"
"1102","https://openalex.org/F4320322511","Narodowe Centrum Nauki","DEC-2019/34/A/ST2/00081"
"1103","https://openalex.org/F4320335777","National Key Research and Development Program of China","2024YFE0102400"
"1104","https://openalex.org/F4320327014","State Key Laboratory of Mechanics and Control of Mechanical Structures","MCMS-I-0421K01"
"1105","https://openalex.org/F4320321001","National Natural Science Foundation of China","11802121"
"1106","https://openalex.org/F4320335777","National Key Research and Development Program of China","2019YFA0705400"
"1107","https://openalex.org/F4320306076","National Science Foundation","CBET1839384"
"1108","https://openalex.org/F4320328437","Samsung Science and Technology Foundation","SRFC-IT2001-40206"
"1109","https://openalex.org/F4320322120","National Research Foundation of Korea","NRF-2022M3F3A2A01072851"
"1110","https://openalex.org/F4320321592","Research Grants Council, University Grants Committee","PolyU502/22"
"1111","https://openalex.org/F4320338394","European Metrology Programme for Innovation and Research","EMPIR 20FUN06 MEMQuD"
"1112","https://openalex.org/F4320338482","H2020 LEIT Biotechnology","783176"
"1113","https://openalex.org/F4320338394","European Metrology Programme for Innovation and Research","20FUN06"
"1114","https://openalex.org/F4320322120","National Research Foundation of Korea","NRF-2022M3I7A2078273"
"1115","https://openalex.org/F4320320879","Deutsche Forschungsgemeinschaft","AL 560/21-1"
"1116","https://openalex.org/F4320338336","H2020 Future and Emerging Technologies","101017237"
"1117","https://openalex.org/F4320321592","Research Grants Council, University Grants Committee","27206321"
"1118","https://openalex.org/F4320338448","HORIZON EUROPE European Innovation Council","101046878"
"1119","https://openalex.org/F4320321592","Research Grants Council, University Grants Committee","17205922"
"1120","https://openalex.org/F4320338482","H2020 LEIT Biotechnology","101007321"
"1121","https://openalex.org/F4320321001","National Natural Science Foundation of China","62122004"
"1122","https://openalex.org/F4320322120","National Research Foundation of Korea","NRF-2021R1A6A3A14044297"
"1123","https://openalex.org/F4320334764","Japan Society for the Promotion of Science","JP22H00283"
"1124","https://openalex.org/F4320337392","Division of Electrical, Communications and Cyber Systems","ECCS-2246564"
"1125","https://openalex.org/F4320337480","Basic Energy Sciences","DE-SC0020042"
"1126","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-22-1-0408"
"1127","https://openalex.org/F4320337392","Division of Electrical, Communications and Cyber Systems","ECCS-1943895"
"1128","https://openalex.org/F4320334764","Japan Society for the Promotion of Science","JPJSJRP20221202"
"1129","https://openalex.org/F4320332161","National Institutes of Health","R01HL132019"
"1130","https://openalex.org/F4320321885","Science and Technology Commission of Shanghai Municipality","22ZR1423500"
"1131","https://openalex.org/F4320332119","Snow Medical","2022SF176"
"1132","https://openalex.org/F4320321001","National Natural Science Foundation of China","12272216"
"1133","https://openalex.org/F4320320442","National Heart Foundation of Australia","105863"
"1134","https://openalex.org/F4320332161","National Institutes of Health","R00HL153678"
"1135","https://openalex.org/F4320338281","Army Research Office","W911NF-16-1-0257"
"1136","https://openalex.org/F4320337337","National Institute on Aging","P30-AG024832"
"1137","https://openalex.org/F4320306084","U.S. Department of Energy","DE-SC0012704"
"1138","https://openalex.org/F4320337480","Basic Energy Sciences","DE-SC0018675"
"1139","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-20-1-0246"
"1140","https://openalex.org/F4320337392","Division of Electrical, Communications and Cyber Systems","NSF-ECCS-1944085"
"1141","https://openalex.org/F4320337480","Basic Energy Sciences","DE-SC0022277"
"1142","https://openalex.org/F4320338281","Army Research Office","W911NF-13–1-0438"
"1143","https://openalex.org/F4320321001","National Natural Science Foundation of China","52071298"
"1144","https://openalex.org/F4320338281","Army Research Office","W911NF-19–2-0049"
"1145","https://openalex.org/F4320337392","Division of Electrical, Communications and Cyber Systems","ECCS-2025158"
"1146","https://openalex.org/F4320333591","Multidisciplinary University Research Initiative","W911NF-18-1-0431"
"1147","https://openalex.org/F4320306084","U.S. Department of Energy","DE-SC0019300"
"1148","https://openalex.org/F4320309893","City University of Hong Kong","9382003"
"1149","https://openalex.org/F4320306095","American Cancer Society","RSG-21-181-01-CTPS"
"1150","https://openalex.org/F4320337345","Office of Naval Research","N00014-21-1-2483"
"1151","https://openalex.org/F4320337345","Office of Naval Research","N00014-21-1-2845"
"1152","https://openalex.org/F4320337357","National Institute of Diabetes and Digestive and Kidney Diseases","R21DK13266"
"1153","https://openalex.org/F4320332925","Defense Health Agency","HT9425-24-1-0249"
"1154","https://openalex.org/F4320306076","National Science Foundation","2145802"
"1155","https://openalex.org/F4320332161","National Institutes of Health","R01HL155815"
"1156","https://openalex.org/F4320338281","Army Research Office","W911NF-23-1-0041"
"1157","https://openalex.org/F4320337345","Office of Naval Research","HQ0034-15-2-0007"
"1158","https://openalex.org/F4320337345","Office of Naval Research","W911NF1920152"
"1159","https://openalex.org/F4320337345","Office of Naval Research","N000142190010"
"1160","https://openalex.org/F4320321001","National Natural Science Foundation of China","52273214"
"1161","https://openalex.org/F4320337345","Office of Naval Research","W911QY1990011"
"1162","https://openalex.org/F4320321885","Science and Technology Commission of Shanghai Municipality","22PJ1407600"
"1163","https://openalex.org/F4320321001","National Natural Science Foundation of China","BE0200030"
"1164","https://openalex.org/F4320322999","Shanghai Jiao Tong University","WH220402021"
"1165","https://openalex.org/F4320338281","Army Research Office","W911NF-21-2-0136"
"1166","https://openalex.org/F4320321001","National Natural Science Foundation of China","52305388"
"1167","https://openalex.org/F4320321886","Ontario Ministry of Research, Innovation and Science","RE09-068"
"1168","https://openalex.org/F4320321001","National Natural Science Foundation of China","52488301,"
"1169","https://openalex.org/F4320321001","National Natural Science Foundation of China","52303303"
"1170","https://openalex.org/F4320337390","Division of Chemical, Bioengineering, Environmental, and Transport Systems","2127235"
"1171","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-20-1-0124"
"1172","https://openalex.org/F4320320883","Agence Nationale de la Recherche","ANR-20-CE24-0013"
"1173","https://openalex.org/F4320309893","City University of Hong Kong","9380131"
"1174","https://openalex.org/F4320334627","Engineering and Physical Sciences Research Council","EP/T02643X/1"
"1175","https://openalex.org/F4320320709","National Research Foundation Singapore","NRF-CRP20-2017-0001"
"1176","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-17-1-0002"
"1177","https://openalex.org/F4320319290","Meta","C-834952"
"1178","https://openalex.org/F4320332180","Defense Advanced Research Projects Agency","W31P4Q21C0043"
"1179","https://openalex.org/F4320320883","Agence Nationale de la Recherche","ANR-20-CE09-0027"
"1180","https://openalex.org/F4320321594","Consejo Nacional de Investigaciones Científicas y Técnicas","PIP 112 202001 01465"
"1181","https://openalex.org/F4320321019","University Grants Committee","CRF C5031-22GF"
"1182","https://openalex.org/F4320322120","National Research Foundation of Korea","NRF-2022M3C1A3081312"
"1183","https://openalex.org/F4320320709","National Research Foundation Singapore","NRF-CRP23-2019-0006"
"1184","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-18-1-0070"
"1185","https://openalex.org/F4320320696","Agency for Science, Technology and Research","M21J9b0085"
"1186","https://openalex.org/F4320338279","Air Force Office of Scientific Research","FA9550-19-1- 0233"
"1187","https://openalex.org/F4320334678","European Research Council","101019932"
"1188","https://openalex.org/F4320336454","Division of Physics","PHY-2207972"
"1189","https://openalex.org/F4320321019","University Grants Committee","GRF 11310522"
"1190","https://openalex.org/F4320337392","Division of Electrical, Communications and Cyber Systems","2015025-ECCS"
"1191","https://openalex.org/F4320320696","Agency for Science, Technology and Research","A18A7b0058"
"1192","https://openalex.org/F4320321019","University Grants Committee","AoE/P-502/20"
"1193","https://openalex.org/F4320337390","Division of Chemical, Bioengineering, Environmental, and Transport Systems","2120774"
"1194","https://openalex.org/F4320337480","Basic Energy Sciences","DE-SC0017717"
"1195","https://openalex.org/F4320321019","University Grants Committee","CRF 8730064"
"1196","https://openalex.org/F4320320696","Agency for Science, Technology and Research","A2084c0177"
"1197","https://openalex.org/F4320322930","Ministerio de Ciencia e Innovación","RYC2021-030880-I"
"1198","https://openalex.org/F4320306084","U.S. Department of Energy","DE-FG07-ER46426"
